功能,画面特征/时间戳,页面标题 (Page Title),菜单路径 (Menu Path),核心业务功能 (Core Function),网页内容 (Webpage Content),映射 URL (Mapped URL),置信度
,Video1-04:56,亚马逊物流注册机会,库存 > 亚马逊物流库存 > 机会,推荐高转化潜力商品转入 FBA 履约,“新亚马逊物流低价费率” Feature Announcement 弹窗；推荐注册 FBA 候选 SKU 列表,https://sellercentral.amazon.com/next/fba/ref_=xx_fbaopp_dnav_xx,High
,Video1-05:16,亚马逊物流分析,库存 > 分析,分析积压库存以制定清货或移仓策略,日期区间筛选器；库龄结构分布图表 (Scatter/Bubble)、超龄费用预测与降本建议面板,https://sellercentral.amazon.com/fba/selleranalytics/fba/age-excess,High
,Video1-06:00,亚马逊物流分析 (多渠道配送),"库存 > 分析 > 导航切换至""多渠道配送""",监控 MCF 订单资金回收状况,Empty State 页面；无数据显示的模块化空白面板,https://sellercentral.amazon.com/fba/selleranalytics/value-recovery,High
,Video1-06:30,亚马逊物流远程配送,库存 > Remote Fulfillment with FBA,管理利用一国 FBA 仓配多国的跨国配送,Empty State 页面；提示未下过任何 MCF 订单及使用向导链接,https://sellercentral.amazon.com/rafn/inventory?ref_=xx_rafn_dnav_xx/home,High
,Video1-07:01,亚马逊仓储和分拨服务计划,库存 > 亚马逊仓储和分拨服务计划,AWD 卫星仓/上游仓储方案介绍与入驻,营销型落地页 (Marketing Page)；含功能价值主张、费用测算对比表 (FBA vs AWD) 及开通入口,https://sellercentral.amazon.com/awd/about?ref=xx_asdn_dnav_xx,High
,Video1-07:43,发送至亚马逊仓储和分拨,页面内动作流跳转 (Send to Amazon),创建发往 AWD 上游仓的货件计划,Step-by-Step 流程向导 (发货地址确认)；待发货 SKU 选择列表与包装详情配置区块,https://sellercentral.amazon.com/fba/sendtoamazon/confirm_content_step?upstream_storage=true&ref=asdn_about,High
菜单——目录,Video2-00:00,卖家后台主页,主 Dashboard 视图,全局店铺概览与核心事务提醒,模块化可拖拽 Widgets：全球销售额、买家消息通知、库存警报、账户状况概览,https://sellercentral.amazon.com/home?orderStatus=unshipped&orderBy=orderDate&sortOrder=Ascending&pageSize=20&pageIndex=0,High
,Video2-00:04,添加商品,目录 > 添加商品,在已有商品目录中搜索或创建新 ASIN,账户停用警报 Banner；居中大尺寸商品检索框 (支持 ASIN/UPC 搜索),https://sellercentral.amazon.com/product-search?ref=xx_catadd_dnav_xx,High
,Video2-00:17,批量上传商品,目录 > 批量上传商品,通过 Flat File/模板实现 SKU 批量创建与管理,任务状态视图；展示批次编号、上传文件状态 (成功/报错)、处理报告下载入口的 Data Table,https://sellercentral.amazon.com/listing/upload,High
,Video2-00:30,尺码表：上传或编辑,目录 > 添加尺码表,为服饰鞋包类目挂载结构化尺码数据,向导式表单 (Wizard)：包含搜索 ASIN、应用尺码表、编辑发布三阶段操作视图,https://sellercentral.amazon.com/sizechart?ref=xx_szchrt_dnav_xx,High
,Video2-00:55,所有库存 (草稿),目录 > 补全你的草稿,管理缺失必填项或待审核状态的商品草稿,What's New 功能导览 Modal；展示因信息缺失导致未发布的商品列表,https://sellercentral.amazon.com/inventory/view/drafts?subView=unsubmitted-drafts,High
,Video2-01:36,卖家大学,页面内跳转至教育中心,官方卖家培训与合规教育资源集合,全局搜索框；视频课程模块矩阵 (开店指导、品牌保护、物流设置等),https://sellercentral.amazon.com/learn/dashboard?ref_=xx_su_dnav_xx,High
,Video2-02:31,查看销售申请,目录 > 查看销售申请,追踪限制级类目/品牌销售权限 (Ungating) 申请,申请类型、状态(审核中/已批准) 筛选器；罗列历史申请记录与反馈的 Data Table,https://sellercentral.amazon.com/hz/myqdashboard?ref_=xx_myqd_dnav_xx,High
,Video2-02:57,图片管理器,目录 > Upload Images,全局可视化化管理商品变体的合规变体图,侧边栏 SKU 树状导航；右侧展示对应 ASIN 的主图 (MAIN)、附图 (PT01-08) 占位符及上传入口,https://sellercentral.amazon.com/imaging/manage?ref_=xx_pxlm_dnav_xx,High
,Video2-03:23,上传图片 (批量),目录 > Upload Images > 上传图片 Tab,Zip 压缩包批量注入商品图片,拖拽式 File Uploader 控件；图片命名规则提示说明；批量作业状态查询 Tab,https://sellercentral.amazon.com/media/upload,High
,Video2-03:46,教育中心 (资产审核),目录 > Upload Images > 3D资产审核 Tab,审核供 AR 试展示的 3D 模型资产,包含模型状态列表的空视图 (Empty State),https://sellercentral.amazon.com/imaging/3dviewer,High
,Video2-03:55,上传和管理视频,目录 > 上传和管理视频,管理 A+ 页面及主图位置的买家导购视频,视频资产看板；展示缩略图、关联的 ASIN 标签、平均完播率指标及视频状态管理,https://sellercentral.amazon.com/creatorhub/video/library?ref=xx_vsecpl_dnav_xx,High
菜单——确定价格,00:00 - 00:04,发货至亚马逊 - 第 1 步：选择要发送的库存,(无明确展开的左侧菜单),配置 FBA 入仓货件属性并选择待发货 SKU,包含水平流程进度指示器 (Stepper)、发货与目标地址选择器、包含 SKU 详情、包装规格及贴标操作列的交互式数据表格 (Data Table)。,https://sellercentral.amazon.com/fba/sendtoamazon/confirm_step?upstream_storage=true&ref=wfba79a0c3-b536-4532-9446-51ab7b990f07,High
,00:05 - 00:18,定价状况,定价 > 定价状况,监控店铺 SKU 定价健康度并获取具有竞争力的系统调价建议,包含顶部系统级提示横幅 (Alert Banner)、用于过滤商品状态的选项卡导航 (Tabs)、以及包含筛选搜索功能且当前展示暂无数据的空白数据表格 (Empty Data Table)。,https://sellercentral.amazon.com/pricing/health/ref=xx_xx_dnav_xx,High
,00:19 - 00:35,自动定价规则,定价 > Automate Pricing,管理基于预设条件和算法的自动动态调价规则引擎,包含“创建自定义规则”的主操作按钮 (Primary CTA Button)、多商城过滤下拉菜单 (Dropdown)、展示现有调价规则名称、状态及覆盖 SKU 数量的列表数据表格。,https://sellercentral.amazon.com/automatepricing/2/pricingrules/ref=xx_xx_dnav_xx,High
,00:36 - 00:48,佣金折扣,定价 > Fee Discounts,评估并参与通过降低商品终端售价以换取平台销售佣金减免的计划,包含业务说明与提示模块，下方渲染包含商品图片、SKU、当前价格、佣金折扣预估等列的数据表格 (当前状态为空/无推荐数据)。,https://sellercentral.amazon.com/feediscounts/dashboard/price?jsessionid=4D7EB314A1E1A377038D0A68C2D1B9,Medium
,00:49 - 01:26,灵活买家融资计划,定价 > 亚马逊高客单价等项目计划付款,注册买家分期付款/融资计划以提升高客单价 SKU 的前端转化率,典型的营销落地页视图 (Marketing Landing Page)，包含 Hero Section (主视觉与大标题)、CTA 按钮、页面内锚点导航栏 (Anchor Tabs)、分步图文运作说明组件及费率明细表格。,https://sellercentral.amazon.com/lpf/seller?ref=xx_lpf_dnav_xx,High
菜单——订单,00:00-00:07,卖家主页 (后台首页),无 (全局入口),提供主导航入口及重要系统通知/弹窗引导,页面渲染了“买家融资计划”功能升级的 Modal 弹窗，左侧全局 Drawer 导航菜单处于展开状态。,https://sellercentral.amazon.com/v0/seller/bwf?ref_=xx_fdf_dnav_xx,High
,00:08-00:43,管理订单,订单 > 管理订单,管理与追踪 FBA/FBM 订单的履约及配送状态,渲染了包含“所有订单”、“已发货”、“取消”等多 Tabs 的 Data Table，展示 SKU、买家信息、配送倒计时等字段，带有多维 Filter 面板。,https://sellercentral.amazon.com/orders-v3/fba/all?page=1,High
,00:44-01:00,创建多渠道配送订单,订单 > Create MCF Order,创建多渠道配送 (MCF) 的站外发货请求,渲染长表单视图 (Form View)：包含输入买家地址区域、支持 SKU/ASIN 检索的商品添加 Widget、及配送速度/包装偏好的 Radio Selector。,https://sellercentral.amazon.com/mc/orders/create-order/ref=xx_cyo_dnav_xx,High
,01:01-01:16,订单报告,订单 > 订单报告,按需生成并下载历史订单数据报表,包含“新订单”、“未发货订单” Tabs，上方为报告日期 Date Picker 与请求按钮，下方展示异步生成的报告状态 Data Table。,https://sellercentral.amazon.com/order-reports-and-feeds/reports/ref=xx_orderrpt_dnav_xx,High
,01:24-01:29,生成日结单表单,订单 > 订单报告 (生成日结单表单 Tab),生成承运商所需的批量交接清单 (End of Day Form),提供下拉式发货地 Dropdown 及表格列表，展示各取件地址的包裹统计数量与对应的文件下载 Button。,https://sellercentral.amazon.com/order-reports-and-feeds/reports/endofdayform#,High
,01:30-01:47,上传订单相关文件,订单 > 上传订单相关文件,批量上传模板文件以同步修改订单状态,包含文件上传控件 (File Upload Widget)，提供“准备文件”、“上传文件”手风琴面板，及带有状态刷新的历史记录列表。,https://sellercentral.amazon.com/order-reports-and-feeds/feeds/ref=xx_orderfile_dnav_xx,High
,01:48-02:03,退货与回收：洞察与商机,订单 > 退货与回收机,提供逆向物流的数据可视化 Dashboard,渲染 4 个关键业务指标卡片 (退货总数、退货率等)及趋势图表，下方包含基于商品 ASIN 的行动建议 (Actionable Insights) 数据表。,https://sellercentral.amazon.com/return-insights/ref=xx_mr_dnav_xx,High
,02:04-02:22,退货与回收：洞察与商机,订单 > 退货与回收机 (回收中心 Tab),监控二手及可回收商品的残值挽回绩效,包含净回收率、回收价值等 KPI 卡片，下方呈现实时 SKU 级专业建议列表，包含原价、折旧比率及操作入口。,https://sellercentral.amazon.com/central/recovery,High
,02:35-02:49,亚马逊物流退货,[隐性路径跳转],分析 FBA 退货趋势及具体 ASIN 的退货原因,顶部展示黄色 Deprecation Warning Banner，主体包含退货量趋势柱状图、退货原因分布饼图及逐个商品的列表清单。,https://sellercentral.amazon.com/fba/returns/,High
,03:03-03:14,亚马逊物流买家退货报告,[隐性路径跳转],自定义检索 FBA 退货流水明细,标准的在线报表生成器 UI：包含精准搜索 (SKU/LPN/FNSKU) 输入框组、事件日期筛选器及“生成报告” Primary Button。,https://sellercentral.amazon.com/reportcentral/CUSTOMER_RETURN/0/,High
,03:15-03:24,买家之声,[隐性路径跳转],监控基于买家反馈的商品级 CX 健康度,顶部展示 CX 健康度概览看板（分为极好、良好、差等 5 个阈值卡片），下方 Data Table 列出各 SKU 的近期退货率及具体买家评论链路。,https://sellercentral.amazon.com/voice-of-the-customer/ref=xx_voc_dnav_xx,High
,03:25-03:36,退货报告,[隐性路径跳转],批量导出并下载后台计算的历史退货详情,展示“生成一次性报告”的全局筛选器，下方展示按日期倒序排列的已生成报表文件清单，提供 XML 和 TSV 两种格式的下载链接。,https://sellercentral.amazon.com/returns/report/,High
,03:37-04:08,需要访问权限,[受限拦截路径],拦截无子账号权限越权访问页面的安全机制,空白页布局 (Empty View)，中央渲染标准的 403 权限拒绝横幅 (Access Denied Banner)，提供切换其他账户的 Secondary Button。,https://sellercentral.amazon.com/fba/insights/,High
,04:14-04:24,亚马逊物流商品分级和价值回收报告,[隐性路径跳转],检索 FBA 损坏/二次销售商品的分级评定结果,报告检索 UI，带有重点提示的 Info Banner，包含 LPN、FNSKU 输入框组及基于单日维度的日期检索机制。,https://sellercentral.amazon.com/reportcentral/VALUE_RECOVERY/0,High
,04:25-04:33,交易视图,[隐性路径跳转],审视特定时间范围内的账户交易流水明细,高密度财务级 Data Table，包含交易类型下拉菜单过滤、日历日期选择器，表格字段拆解了商品价格、促销金额、各项亚马逊费用等收支明细。,https://sellercentral.amazon.com/payments/event/view?resultsPerPage=10&pageNumber=1,High
,04:34-04:46,移除订单详情报告,[隐性路径跳转],审查清理不可售库存 (Removal Order) 的执行记录,顶部 UI 提供在线查看与 CSV 文件下载格式切换，下方表格呈现系统处理的移除请求详情，包含处理时间、请求日期及下载状态列。,https://sellercentral.amazon.com/reportcentral/REMOVAL_ORDER_DETAIL/1,High
,04:47-04:59,所有库存,[隐性路径跳转],全局概览及优化在售商品 (Active Listings) 状态,带有面包屑 (Breadcrumb) 的库存表，顶部分布多状态 Tabs 过滤 (在售、停售、优化)，支持 SKU/ASIN 多维度复合搜索，左侧附带快捷筛选菜单。,https://sellercentral.amazon.com/inventory/view/optimize-listings/fulfilledBy=all&page=1&pageSize=10&sort=-sales_dmc&status=needs_improvement,High
,05:00-05:12,管理卖家自配送退货,订单 > 管理卖家自配送退货,处理 FBM (卖家自配送) 模式下的逆向售后请求,提供带有搜索栏的订单列表框架，预设“待授权”、“已完成”等分类 Tabs，当前屏幕呈现无搜索结果的 Empty State 占位符。,https://sellercentral.amazon.com/gp/returns/list/v2/ref=xx_myr_dnav_xx,High
,05:13-05:22,SAFE-T 索赔,订单 > 管理 SAFE-T 索赔,提交并追踪卖家免责情况下的资金索赔申请,包含三个带有统计数字的快捷看板（正在审核、需要处理、已解决），下方有搜素索赔 ID 搜索框和多状态切换的记录表格。,https://sellercentral.amazon.com/safet-claims/ref=xx_safet_dnav_xx,High
菜单——广告,00:00-00:02,管理 SAFE-T 索赔,卖家后台菜单 > 广告 (悬停),卖家自配送订单赔付申请管理,包含数据看板（索赔总金额）、ASIN/订单号搜索框、索赔记录 Data Table、右下角求助 Widget,https://sellercentral.amazon.com/safet-claims/ref=xx_safet_dnav_xx,High
,00:06-00:24,广告活动,广告 > 广告活动管理,站内广告投放监控与管理,顶部系统级红色警告横幅（账户余额付款失败），左侧二级导航包含广告组合/草稿，主体区域呈现 Loading 状态,https://advertising.amazon.com/cm?ref_=xx_cmpmgr_dnav_xx&merchantId=AZ7HBRL9ZCKB1&locale=zh_CN&ref=RedirectedFromSellerCentrallyRoutingService,High
,00:25-00:37,推荐建议,广告活动管理 > 左侧导航首个 Tab,广告智能优化策略推荐,"欢迎语 ""尊敬的jitaoshangmao：下午好！""，核心区域展示 ""没有新的建议"" 空数据状态",https://advertising.amazon.com/recommendations?entityId=ENTITYK8DOVZ0A9Y68,High
,00:38-00:44,您的 Brand Profile (品牌资料),左侧导航 > 品牌内容 > 品牌资料,品牌核心视觉资产配置,移动端与桌面端 Mockup 预览组件，居中展示品牌创建引导及多店铺同步弹窗,https://advertising.amazon.com/builder/brand-profile?entityId=ENTITYK8DOVZ0A9Y68,High
,00:45-00:55,品牌旗舰店,左侧导航 > 品牌旗舰店,品牌专属落地页构建与管理,"橙色 ""创建品牌旗舰店"" CTA 按钮，下方采用三列 Grid 布局展示功能优势与场景文案",https://advertising.amazon.com/builder/brand-profile?entityId=ENTITYK8DOVZ0A9Y68,Medium
,00:56-01:06,亚马逊内容营销计划,左侧导航 > 亚马逊内容营销计划,品牌社交化图文内容分发,顶部系统级黄色警告横幅（需添加付款方式），下拉 Dropdown 选择器，未注册品牌提示,https://advertising.amazon.com/builder/content-builder?entityId=ENTITYK8DOVZ0A9Y68,Medium
,01:07-01:15,创意素材,左侧导航 > 创意素材,广告素材（图文/视频）资产库,"左上角 ""上传素材"" 控件，ASIN/名称检索 Input，Data Table 呈 ""无结果"" 过滤状态",https://advertising.amazon.com/creative-assets?entityId=ENTITYK8DOVZ0A9Y68&pageNumber=1&pageSize=25&sort=NEWEST_TO_OLDEST,High
,01:16-01:32,了解创意智能体,左侧导航 > 创意工作室 (Beta),AIGC 多模态广告素材生成工具,AI 聊天交互式 Input Field，图像与视频生成入口卡片，下方呈现灵感图库 (Gallery),https://advertising.amazon.com/creative-studio/test?entityId=ENTITYK8DOVZ0A9Y68,High
,01:33-01:40,选择翻译服务,左侧导航 > 翻译,跨境广告物料多语言本地化,"包含 ""翻译品牌或商品内容"" 与 ""翻译视频"" 两个独立服务卡片，""获取帮助"" 锚点链接",https://advertising.amazon.com/translation/marketplaces?entityId=ENTITYK8DOVZ0A9Y68,High
,02:13-02:22,品牌指标（测试版）,左侧导航 > 品牌指标,衡量品牌购物旅程各节点转化率,大段品牌指标定义与价值解析文案，底部包含三个漏斗阶段（认知、考虑、购买）Icon,https://advertising.amazon.com/bm/bm/unauthorized?entityId=ENTITYK8DOVZ0A9Y68,High
,02:24-02:35,品牌展示份额,左侧导航 > 品牌搜索份额分析,品牌及竞品搜索词流量占有率评估,份额计算逻辑说明文案，三列式图文卡片解析展现量、点击量与加购转化影响,https://advertising.amazon.com/bm/sti/bm/unauthorized?entityId=ENTITYK8DOVZ0A9Y68,High
,02:36-02:51,广告策划师,左侧导航 > 广告策划师,多渠道媒介排期与预算分配工具,"黑色 ""新建方案"" 按钮，Data Table 空状态，顶部按地区/受众/DSP 状态组合的筛选表单",https://advertising.amazon.com/mediaPlanning/ads-planner/plans?entityId=ENTITYK8DOVZ0A9Y68,High
,02:52-02:59,亚马逊引流洞察（测试版）,左侧导航 > 亚马逊引流洞察,站外全渠道流量追踪与销售归因,"顶部黄色横幅提示 ""此账户目前不符合...使用条件""，衡量/优化/计划三大功能模块说明",https://advertising.amazon.com/attribution/ineligible,High
,03:00-03:09,亚马逊营销云 (AMC),左侧导航 > 亚马逊营销云,跨媒介高颗粒度数据集成与建模,"英文版系统服务协议页面，AMC 定制受众/全渠道衡量能力说明，""Agree and continue"" 按钮",https://advertising.amazon.com/marketing-cloud/acceptTerms?entityId=ENTITYK8DOVZ0A9Y68,High
,03:21-03:28,使用模板创建报告,左侧导航 > 测量和报告 (创建页),定制化数据报表导出配置,"表单视图，包含 ""广告活动""、""广告资源""、""受众"" 维度选择面板，无权限阻断提示",https://advertising.amazon.com/reporting/test?entityId=ENTITYK8DOVZ0A9Y68,High
,03:30-03:40,无报告,左侧导航 > 测量和报告 (列表页),历史数据报表任务管理与下载,Data Table 展示报告名称（商品推广/受众等）、周期、状态及下载操作列,https://advertising.amazon.com/reports?entityId=ENTITYK8DOVZ0A9Y68,High
,03:41-03:50,调研,左侧导航 > 调研,消费者倾向问卷与定性市场洞察,Amazon Shopper Panel (亚马逊消费者反馈奖励计划) 说明文案，外链跳转按钮,https://advertising.amazon.com/studies/test?entityId=ENTITYK8DOVZ0A9Y68,High
,03:51-03:59,事件管理,左侧导航 > 事件管理,追踪代码 (Pixel) 部署与转化事件联调,"""使用亚马逊广告代码来精准地网域的转化"" 说明，业务服务与管理协议外链",https://advertising.amazon.com/events-manager?entityId=ENTITYK8DOVZ0A9Y68,High
,04:13-04:23,账户访问和设置,齿轮图标 > 账户访问和设置,跨国站点子账号与角色权限管控,"Data Table 列出多名用户，显示关联国家/地区数量、角色（管理员），提供 ""操作"" 下拉菜单",https://advertising.amazon.com/am/sellec/ENTITYK8DOVZ0A9Y68,High
,04:24-04:38,账单概览,齿轮图标 > 账单和付款,跨国站点广告财务对账与结算,蓝色监管广告费退款通知横幅，列出多国站点（比利时/加拿大/德国）账户状态与应付款余额明细,https://advertising.amazon.com/ads-bg/billing/history?entityId=ENTITYK8DOVZ0A9Y68,High
,04:47-05:00,亚马逊引流洞察 测试版,卖家后台菜单 > 广告 > 衡量非亚马逊广告,外部社媒/搜索流量站内转化追踪监控,"嵌入式 Video Player 组件，中心弹窗提示 ""目前，您无法使用'亚马逊引流洞察'""，""注册"" 按钮",https://sellercentral.amazon.com/attribution/ref=xx_aamaan_dnav_xx,High
,05:23-05:36,商品描述管理器,卖家后台菜单 > 广告 > A+ 商品描述管理器,结构化图文详情页 (A+/EBC) 编排配置,Tabs 分组 (内容详情/待办事项)，ASIN 搜索栏，数据表格展示内容类型、语言与上传状态,https://sellercentral.amazon.com/enhanced-content/content-manager,High
,05:37-05:51,Amazon Vine,卖家后台菜单 > 广告 > Vine,官方合规邀评与种子买家送测,"顶部 Hero Banner 插画，""开始使用 Amazon Vine"" CTA 按钮，下方卡片展示真实买家评价案例",https://sellercentral.amazon.com/vine/ref=xx_vine_dnav_xx/welcome_to_vine,High
,05:52-06:04,借助促销提升销量,卖家后台菜单 > 广告 > 秒杀,Prime Day/七天促销等站内 Deal 提报,"蓝色 ""创建新促销"" 按钮，下方展示参与亚马逊活动、提升排名等业务收益模块",https://sellercentral.amazon.com/merchandising-new/funding,High
,06:05-06:14,促销 (选择商品),卖家后台菜单 > 广告 > 秒杀 (创建流程),提报 Deal 门槛校验与 SKU/ASIN 提报,提示 Prime 专享折扣规则变更，多条件联动筛选表单，Data Table 状态栏,https://sellercentral.amazon.com/merchandising-new/create,High
,06:15-06:30,优惠券,卖家后台菜单 > 广告 > 优惠券,单品满减或百分比折扣券全生命周期监控,"包含状态/类型的复杂筛选控件，大量展示 ""已取消"" 及过期状态优惠券的 Data Table",https://sellercentral.amazon.com/coupons/ref=xx_scoupo_dnav_xx,High
,06:31-06:42,Prime 专享折扣,卖家后台菜单 > 广告 > 价格折扣,Prime 会员专属特价活动提报,"提供 ""亚太地区/北美/欧洲"" 视图切换 Tabs，红色 Icon 提示 ""未找到任何折扣"" 空状态",https://sellercentral.amazon.com/discounts/ref=xx_discnts_dnav_xx,High
,06:43-06:50,促销,卖家后台菜单 > 广告 > 管理促销,组合购买折扣或社媒专属折扣码设置,"顶部 ""管理您的促销"" 与 ""创建促销"" Tabs 切换，社交媒体促销代码与购买折扣两类活动入口列表",https://sellercentral.amazon.com/promotions/manage/ref=xx_promomgr_dnav_xx#&tab=create-your-promotions,High
菜单——品牌旗舰店,Video 1,品牌旗舰店,广告 > 品牌旗舰店,创建与管理品牌专属亚马逊旗舰店页面,"顶部居中显示 Hero 区域包含 ""创建品牌旗舰店"" 按钮 (CTA)；中段横向排列三组说明卡片 (Cards) 阐述功能优势；底部包含 AdProducts US 链接横幅及""学习资源""图文/视频聚合模块。存在拦截弹窗提示需要品牌所有者权限。",https://advertising.amazon.com/builder/ref=xx_sbnv_dnav_xx?merchantId=A2TH89L5Z6DKE1&locale=zh_CN&ref_=RedirectedFromSellerCentrallyRoutingService,High
菜单——增长,Video 2,在您的电子商务网站上提供 Prime 购物优惠,增长 > 用 Prime 购实现您的网站,引导商家开通 Buy with Prime 服务以转化独立站流量,"产品推广落地页 (Landing Page)。左侧为文本介绍与""注册吧""按钮，右侧展示移动端购物车 UI 模拟器插画；下方通过垂直描点导航/Tabs 解释运作逻辑（FBA/MCF 路由）、展示商家成功案例与常见问题 (FAQ) 折叠面板。",https://sellercentral.amazon.com/buy-with-prime,High
,Video 2,商品推荐,增长 > 增长机会看板,提供 ASIN 维度的运营优化建议与行动看板,"数据表格页。包含数据漏斗统计卡片、下拉过滤器组件，以及横向 Tab 分类（如：降低成本、提高转化率等）；核心区域为 Data Table，列出 ASIN、影响力、转化率等指标，末列带操作入口；触发系统级模态弹窗 ""New feature announcement""。",https://sellercentral.amazon.com/grow/ref=xx_MYG_dnav_xx,High
,Video 2,了解销售计划,增长 > 探索销售计划,聚合展示亚马逊各类卖家增长与支持计划，按业务目标分类导航,"计划检索中心。左侧为类目垂直侧边栏 (Sidebar Menu)；右侧主体区域为卡片式网格布局 (Grid layout)，展示各个计划（如亚马逊物流、A+ 商品描述）的独立卡片与 ""了解更多信息"" 跳转按钮。",https://sellercentral.amazon.com/recommended-programs/ref=xx_nav_enp_dnav_xx,High
,Video 2,亚马逊定制计划,增长 > 定制计划,管理与发布支持买家个性化定制的商品,"控制台面板 (Dashboard)。页面顶部包含""主页""与""指南和常见问题"" Tab 页签；主内容区划分两大功能块：""创建定制商品""入口与""管理定制商品""入口，附带批量操作提示与模板下载指引。",https://sellercentral.amazon.com/gmtall/manageregistration/index.html/ref=xx_q_rg_n_dnav_xx,High
,Video 2,全球开店选品需求,增长 > 跨地区选品,分析其他站点同类竞品的表现，推荐跨国上架机会,"数据检索与推荐看板。顶部包含多站点切换控件 (Tabs/Pills) 与 ASIN 搜索框；页面右上方嵌有视频播放器 (Video Widget)；主体为 Data Table，展示跨地域商品推荐列表与竞争力指标。带有模态弹窗 ""Similar ASINs in other stores""。",https://sellercentral.amazon.com/selection/cross-listing,High
,Video 2,亚马逊贷款,增长 > 借贷,向符合条件的卖家提供第三方企业融资贷款入口,"信息通告页 (Notification Page)。页面中心渲染插画及提示文案""感谢您对亚马逊贷款的关注""，解释当前账户暂不可用；下方附带 Amazon Terms and Conditions 法律声明长文本；无表单或数据面板。",https://sellercentral.amazon.com/lending/ph/offers/ref=xx_igdlo_dnav_xx,High
,Video 2,商机探测器,增长 > 商机探测器,探索买家搜索趋势、识别高潜力细分市场与热门关键词,"数据分析看板。顶部为全局检索框；包含水平滚动的""满足的热门需求""数据卡片组（显示搜索量及转化率）；主内容区包含""细分市场的搜索表现""折线图 (Line Chart) 交互组件与""质量改进"" ASIN 数据列表。",https://sellercentral.amazon.com/opportunity-explorer/explore,High
,Video 2,Amazon Multi-Channel Fulfillment,增长 > 多渠道配送,宣传并引导卖家使用 MCF 处理独立站及其他电商平台的订单,"业务落地页。包含占据首屏的 Hero 视觉图及注册按钮；下方通过锚点导航组织内容，展示核心优势（实效交付、自动配送）、""案例研究""视频组件 (Case Study Widget) 及其与其他建站工具的集成说明。",https://sellercentral.amazon.com/mcf/ref=xx_mcfgrow_dnav_xx,High
